R_Angstrom E_total_eV
0.5 -2.9880121530555886e+01
0.6 -3.1379165868703915e+01
0.7 -3.1922004379520125e+01
0.74 -3.1985554773289394e+01
0.8 -3.1975660295899850e+01
0.9 -3.1778244260399358e+01
1.0 -3.1461038977874896e+01
1.1 -3.1097897704942373e+01
1.2 -3.0730590092619959e+01
1.4 -3.0067350506680210e+01
1.6 -2.9552514386898270e+01
1.8 -2.9188866166679368e+01
2.0 -2.8950828465021754e+01
2.5 -2.8708732806349975e+01
3.0 -2.8763665634176157e+01
3.5 -2.9201136680335441e+01
